City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Sesheke,ZM,78.49,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
575,Kottapalli,IN,83.32,clear sky,18.4833,79.1,University Guest House
582,Candido Mendes,BR,75.61,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
584,Gwanda,ZW,78.55,scattered clouds,-20.9333,29.0,Mafax Homeways
591,Bhum,IN,81.14,clear sky,18.4667,75.6667,धनंजय होम
596,Katobu,ID,81.43,light rain,-4.9408,122.5276,La Ode Husein
601,Bocas Del Toro,PA,82.08,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
606,Lodja,CD,78.78,broken clouds,-3.4833,23.4333,
607,Veraval,IN,82.04,clear sky,20.9,70.3667,Lords Inn Somnath
609,Tual,ID,84.04,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
610,Gizo,SB,83.48,light rain,-8.103,156.8419,Imagination Island
611,Jeremie,HT,76.41,scattered clouds,18.65,-74.1167,Auberge’Inn
614,Hobyo,SO,82.27,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
615,Tucuman,AR,73.4,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
618,Mathbaria,BD,70.7,overcast clouds,22.2876,89.9593,Shikdar Hotel
622,Kaliua,TZ,78.03,overcast clouds,-5.0606,31.7936,Millennium Complex
623,Amethi,IN,80.76,scattered clouds,26.15,81.8167,Taj Hotel
624,Huazhou,CN,75.56,scattered clouds,21.6333,110.5833,Feilong Hotel
629,Pindiga,NG,74.37,overcast clouds,9.9833,10.9333,Accommodation Center
631,Parrita,CR,82.17,few clouds,9.5201,-84.3225,Beso del Viento
633,Kandrian,PG,84.87,overcast clouds,-6.2167,149.55,Kandrian Station
634,Jardim,BR,74.44,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
635,Lorengau,PG,78.49,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
636,Sao Joao Da Barra,BR,73.62,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
643,Axim,GH,80.13,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
644,Ternate,ID,83.05,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
646,Biltine,TD,77.81,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
650,Kilindoni,TZ,80.74,light rain,-7.9139,39.6668,Bustani B&B
651,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
653,Varadero,CU,70.56,broken clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
654,Palu,ID,83.66,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
656,Zemio,CF,84.58,overcast clouds,5.0314,25.1361,OCHA Office
657,Dilla,ET,74.12,clear sky,6.41,38.31,Afomiya Pension
658,Qandala,SO,78.94,clear sky,11.472,49.8728,
660,Boyolangu,ID,78.89,light rain,-8.1181,111.8935,Yos ega cv
661,Puerto Carreno,CO,76.48,few clouds,6.189,-67.4859,Casa Hotel Victoria
665,Ouadda,CF,82.0,overcast clouds,8.0777,22.4007,
668,Bulawayo,ZW,79.97,scattered clouds,-20.15,28.5833,4 On Housman Backpackers
670,Yangambi,CD,72.63,overcast clouds,0.8102,24.4336,
671,Empangeni,ZA,85.68,scattered clouds,-28.762,31.8933,Peermont Metcourt Hotel at Umfolozi
672,Bandar,ID,88.52,scattered clouds,2.05,99.75,
677,Bonthe,SL,78.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
679,Kalengwa,ZM,79.63,few clouds,-13.4659,25.0027,
682,Manono,CD,77.05,overcast clouds,-7.3,27.4167,Hotel hewa bora
684,Pangai,TO,78.93,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
685,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
686,Wad Rawah,SD,83.64,clear sky,15.1603,33.1397,ود الترابي
687,Benguela,AO,78.22,broken clouds,-12.5763,13.4055,Hotel Praia Morena
691,Basoko,CD,77.25,overcast clouds,1.2391,23.616,Jackyna Hotel
692,Honiara,SB,79.25,moderate rain,-9.4333,159.95,Heritage Park Hotel
697,Puerto Leguizamo,CO,70.2,broken clouds,-0.1934,-74.7819,la casona de juancho
702,Tevaitoa,PF,80.56,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
708,Kisangani,CD,77.79,overcast clouds,0.5167,25.2,Grand Ramela Hotel
709,Ciudad Bolivar,VE,74.44,broken clouds,8.1222,-63.5497,Hotel Edi
