City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
170,Hami,2,CN,2021-12-03 06:57:40,50,42.8,93.45,30.25,2.1
171,Cherskiy,100,RU,2021-12-03 06:57:41,99,68.75,161.3,-3.39,8.39
172,Jizan,0,SA,2021-12-03 06:57:41,54,17.3333,42.6667,83.34,2.48
173,Umred,41,IN,2021-12-03 06:57:41,30,20.85,79.3333,75.49,7.65
174,Deputatskiy,100,RU,2021-12-03 06:57:42,95,69.3,139.9,-23.55,2.57
175,Touros,100,BR,2021-12-03 06:57:43,81,-5.1989,-35.4608,77.9,9.69
176,Clyde River,99,CA,2021-12-03 06:57:43,84,70.4692,-68.5914,-5.57,0.0
177,Roald,0,NO,2021-12-03 06:57:43,74,62.5833,6.1333,25.0,13.8
178,Camacha,40,PT,2021-12-03 06:57:44,67,33.0833,-16.3333,60.22,14.97
179,Kokstad,34,ZA,2021-12-03 06:54:11,67,-30.5472,29.4241,68.11,1.39
180,Angoche,0,MZ,2021-12-03 06:57:44,59,-16.2325,39.9086,86.77,13.33
181,Achacachi,100,BO,2021-12-03 06:57:45,93,-16.05,-68.6833,41.94,6.24
182,Naze,21,JP,2021-12-03 06:57:45,54,28.3667,129.4833,61.72,16.96
183,Lasa,51,IT,2021-12-03 06:57:45,95,46.6166,10.7002,27.7,6.82
184,Le Vauclin,75,MQ,2021-12-03 06:57:46,88,14.5452,-60.8388,77.85,2.3
185,Tazovskiy,100,RU,2021-12-03 06:58:46,97,67.4667,78.7,-2.51,15.93
186,Narsaq,0,GL,2021-12-03 06:58:47,74,60.9167,-46.05,9.01,5.91
187,Sergiyevsk,100,RU,2021-12-03 06:58:47,95,53.9413,51.165,29.14,15.1
188,Killybegs,100,IE,2021-12-03 06:58:48,77,54.6333,-8.45,44.46,12.1
189,East London,0,ZA,2021-12-03 06:58:48,56,-33.0153,27.9116,68.94,18.41
190,Galle,43,LK,2021-12-03 06:58:48,71,6.0367,80.217,83.53,7.02
191,Ulety,100,RU,2021-12-03 06:58:49,74,51.3572,112.4849,30.63,11.88
192,Tuatapere,54,NZ,2021-12-03 06:58:49,88,-46.1333,167.6833,63.82,3.38
193,Kruisfontein,92,ZA,2021-12-03 06:58:50,57,-34.0033,24.7314,65.88,4.47
194,Ballina,0,AU,2021-12-03 06:58:50,80,-28.8667,153.5667,82.58,12.66
195,Turukhansk,100,RU,2021-12-03 06:58:51,98,65.8167,87.9833,29.44,11.45
196,Flin Flon,100,CA,2021-12-03 06:58:36,94,54.7682,-101.865,11.53,6.42
197,Chitral,6,PK,2021-12-03 06:56:23,24,35.8462,71.7858,53.85,5.23
198,Poum,100,NC,2021-12-03 06:58:51,77,-20.2333,164.0167,81.52,15.37
199,San Quintin,0,MX,2021-12-03 06:58:52,88,30.4833,-115.95,58.01,6.78
