City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Pahrump,US,36.2083,-115.9839,62.19,23,13,4.03,few clouds
270,Vila Velha,BR,-20.3297,-40.2925,75.15,93,40,5.75,scattered clouds
271,Nizhniy Kuranakh,RU,58.8353,125.4869,1.29,99,100,2.04,light snow
272,Gijon,ES,43.5357,-5.6615,54.84,77,100,1.99,overcast clouds
273,Mareeba,AU,-17.0,145.4333,88.45,57,97,9.24,overcast clouds
274,Bowen,AU,-20.0167,148.2333,82.42,65,47,19.69,scattered clouds
275,Trairi,BR,-3.2778,-39.2689,80.19,78,75,12.59,broken clouds
276,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,85,88,1.25,overcast clouds
277,Siuri,IN,23.9167,87.5333,75.42,64,25,7.99,scattered clouds
278,Pozhva,RU,59.0912,56.0847,-5.28,94,10,3.89,clear sky
279,Nemuro,JP,43.3236,145.575,44.62,78,35,21.45,scattered clouds
280,Nyurba,RU,63.2842,118.3319,-28.53,95,70,5.75,broken clouds
281,Irbil,IQ,36.1926,44.0106,58.68,34,6,2.33,clear sky
282,Nanortalik,GL,60.1432,-45.2371,25.02,60,100,31.7,overcast clouds
283,Paciran,ID,-6.8767,112.3761,79.12,84,100,9.69,overcast clouds
284,Visnes,NO,59.3556,5.2242,34.57,69,75,23.02,broken clouds
285,Washington,US,47.5001,-120.5015,34.29,68,100,2.82,overcast clouds
286,Alugan,PH,12.2188,125.4808,80.15,79,55,14.14,broken clouds
287,Sola,VU,-13.8833,167.55,79.65,80,99,11.99,overcast clouds
288,Porto Novo,BJ,6.4965,2.6036,80.26,84,63,4.52,broken clouds
289,Vanimo,PG,-2.6741,141.3028,84.16,80,100,10.76,overcast clouds
290,Luena,AO,-11.7833,19.9167,68.99,76,98,4.43,overcast clouds
291,Praya,CV,14.9215,-23.5087,73.94,64,0,18.41,clear sky
292,Lompoc,US,34.6391,-120.4579,57.31,94,6,8.61,clear sky
293,Bubaque,GW,11.2833,-15.8333,80.28,62,1,6.4,clear sky
294,Goure,NE,13.9835,10.2704,67.01,18,99,10.31,overcast clouds
295,Zhuhai,CN,22.2769,113.5678,76.86,46,0,10.36,clear sky
296,Lopandino,RU,52.4666,34.8163,27.52,80,100,8.7,overcast clouds
297,Jiayuguan,CN,39.8167,98.3,33.01,35,100,7.83,overcast clouds
298,Biak,ID,-0.9131,122.8766,81.82,78,100,1.43,overcast clouds
299,Saint George,US,37.1041,-113.5841,57.34,45,1,4.61,clear sky
300,Kaeo,NZ,-35.1,173.7833,71.33,88,100,6.73,overcast clouds
301,Springdale,US,36.1867,-94.1288,49.59,86,90,5.99,light rain
302,Hwange,ZW,-18.3693,26.5019,82.72,48,100,4.79,overcast clouds
303,Bacolod,PH,10.6667,122.95,82.65,68,69,12.88,broken clouds
304,Camacha,PT,33.0833,-16.3333,62.02,63,75,13.8,broken clouds
305,Tura,IN,25.5198,90.2201,72.12,70,87,4.83,overcast clouds
306,Imbituba,BR,-28.24,-48.6703,71.82,94,100,5.73,overcast clouds
307,Victoria,HK,22.2855,114.1577,75.96,40,7,1.01,clear sky
308,Okhotsk,RU,59.3833,143.3,-8.91,85,14,10.96,few clouds
309,Boguchany,RU,58.3814,97.4531,28.85,96,100,7.0,light snow
310,Erenhot,CN,43.6475,111.9767,26.35,68,2,9.24,clear sky
311,Port Lincoln,AU,-34.7333,135.8667,64.24,63,0,17.29,clear sky
312,Buluang,PH,13.3068,123.3425,83.95,60,79,6.26,broken clouds
313,Dukat,RU,62.55,155.55,-31.47,100,50,4.32,scattered clouds
314,Mana,GF,5.6592,-53.7767,75.67,95,100,11.34,overcast clouds
315,Lubango,AO,-14.9172,13.4925,68.79,63,88,1.61,overcast clouds
316,Forest Grove,US,45.5198,-123.1107,41.83,88,90,0.0,overcast clouds
317,Yarim,YE,14.298,44.3779,61.86,14,0,2.75,clear sky
318,Marsh Harbour,BS,26.5412,-77.0636,77.07,78,97,14.29,overcast clouds
319,Homer,US,59.6425,-151.5483,33.69,87,90,11.5,light snow
320,Baton Rouge,US,30.4508,-91.1545,67.93,85,100,1.01,overcast clouds
321,Bengkulu,ID,-3.8004,102.2655,82.85,78,46,12.59,scattered clouds
322,Antofagasta,CL,-23.65,-70.4,61.79,79,100,2.21,overcast clouds
323,Mitu,CO,1.1983,-70.1733,72.7,96,100,0.74,overcast clouds
324,Northam,GB,51.0333,-4.2167,47.01,93,100,18.57,light rain
325,Safaga,EG,26.7292,33.9365,67.23,51,99,11.63,overcast clouds
326,Alice Springs,AU,-23.7,133.8833,92.75,27,40,10.36,scattered clouds
327,Plettenberg Bay,ZA,-34.0527,23.3716,64.22,91,98,9.31,moderate rain
328,Ilo,PE,-17.6394,-71.3375,66.42,84,100,4.43,overcast clouds
329,Yining,CN,29.0361,114.5636,65.73,28,0,2.57,clear sky
330,Odweyne,SO,9.4092,45.064,73.33,36,5,4.63,clear sky
331,Khadyzhensk,RU,44.4256,39.5319,50.52,81,85,1.05,overcast clouds
332,Nacala,MZ,-14.5428,40.6728,88.92,58,75,9.22,broken clouds
333,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.1,96,6,2.21,clear sky
334,Paramirim,BR,-13.4425,-42.2389,65.98,95,0,2.84,clear sky
335,Orapa,BW,-21.2833,25.3667,76.5,60,100,6.93,overcast clouds
336,Along,IN,28.1667,94.7667,73.36,51,100,0.85,overcast clouds
337,Srednekolymsk,RU,67.45,153.6833,-41.64,98,100,4.29,overcast clouds
338,Walvis Bay,NA,-22.9575,14.5053,65.73,65,0,3.6,clear sky
339,Diamantino,BR,-14.4086,-56.4461,71.8,97,100,1.54,overcast clouds
340,Kostomuksha,RU,64.571,30.5767,2.52,98,45,2.06,scattered clouds
341,Boda,CF,4.3189,17.4695,80.56,65,100,0.56,overcast clouds
342,Russellville,US,35.2784,-93.1338,68.14,80,75,0.0,broken clouds
343,Valparaiso,CL,-33.0393,-71.6273,56.75,94,29,6.06,scattered clouds
344,Kabanjahe,ID,3.1001,98.4908,70.56,69,74,3.6,broken clouds
345,Lasa,IT,46.6166,10.7002,28.62,93,78,6.4,broken clouds
